Žydrūnas Savickas           948,00 LTU
Øyvind Rein                 11,00 NOR
Torben Sørensen             11,00 DNK
Kim Ujarak Lorentzen        11,00 DNK [GRL]
Nicolas Cambi               10,50 ITA
Chris Gearing               10,00 GBR
Robert Szczepański          10,00 POL
Nedžmin Ambešković          9,00 BIH
Benedikt Magnússon          9,00 ISL
Jörgen Ljungberg            8,50 SWE
Brian Irwin                 8,00 GBR
Ervin Toots                 8,00 EST
Jaromír Němec               8,00 CZE
Tobias Ide                  8,00 DEU
Fraser Tranter              7,00 GBR
Jimmy Laureys               7,00 BEL
Kurt Kvikstad               7,00 NOR
Ole Martin Kristiansen      7,00 NOR
Shane Flowers               6,00 GBR
Gunnar Thór Gudjónsson      6,00 ISL
Igor Werner                 6,00 DEU
Oskar Ziółkowski            5,50 POL
Ivan Putski                 5,40 POL
Gustavo Pujadas             5,00 ESP
Dennis Kohlruss             5,00 DEU
Raffael Gordzielik          4,00 DEU
Zake Muluzi                 4,00 GBR
Jean-Luc Moalli             4,00 FRA
Jean-Marc Tocaven           3,00 FRA
José Hervás                 2,00 ESP
Bill Anderson               1,33 GBR
Sigfús Fossdal              1,00 ISL
Alexander Matveev           0,00 RUS
