Chris Gearing               1 GBR
Lloyd Renals                1 GBR
Fraser Tranter              1 GBR
Robert Weir                 1 GBR
Steve Brooks                1 GBR
Gregor Edmunds              1 GBR
Adam Roszkowski             1 POL
Oskar Ziółkowski            1 POL
Kane Francis                1 GBR
Nicolas Cambi               1 ITA
Ondřej Fojtů                1 CZE
